intersection_id,i,j,avg_queue,max_queue
0,0,0,6.088125,14.000000
1,0,1,6.708333,15.000000
2,0,2,6.954792,15.000000
3,0,3,6.920625,14.000000
4,0,4,6.435000,13.000000
5,0,5,6.367292,14.000000
6,1,0,6.938542,14.000000
7,1,1,7.603958,16.000000
8,1,2,8.310625,16.000000
9,1,3,7.813333,15.000000
10,1,4,7.651042,15.000000
11,1,5,7.063750,15.000000
12,2,0,6.640833,14.000000
13,2,1,7.640833,14.000000
14,2,2,7.948542,17.000000
15,2,3,7.964375,15.000000
16,2,4,7.538125,16.000000
17,2,5,7.023542,14.000000
18,3,0,6.755625,15.000000
19,3,1,7.629583,15.000000
20,3,2,8.222917,17.000000
21,3,3,7.567500,15.000000
22,3,4,7.999375,14.000000
23,3,5,7.170417,14.000000
24,4,0,7.221458,16.000000
25,4,1,7.712500,14.000000
26,4,2,7.940208,15.000000
27,4,3,7.828958,15.000000
28,4,4,7.715833,17.000000
29,4,5,7.129583,15.000000
30,5,0,6.132917,13.000000
31,5,1,6.817708,14.000000
32,5,2,7.222083,14.000000
33,5,3,6.911042,15.000000
34,5,4,6.746667,14.000000
35,5,5,6.281667,14.000000
