intersection_id,i,j,avg_queue,max_queue
0,0,0,2.371250,8.000000
1,0,1,2.126250,8.000000
2,0,2,2.473333,9.000000
3,0,3,2.487917,9.000000
4,0,4,2.065625,8.000000
5,0,5,2.269792,8.000000
6,1,0,1.946042,8.000000
7,1,1,2.046042,10.000000
8,1,2,2.339792,9.000000
9,1,3,2.263958,9.000000
10,1,4,2.075833,9.000000
11,1,5,2.090625,8.000000
12,2,0,2.309583,8.000000
13,2,1,2.300000,8.000000
14,2,2,2.458958,9.000000
15,2,3,2.272917,8.000000
16,2,4,2.348958,8.000000
17,2,5,2.261667,9.000000
18,3,0,2.242708,8.000000
19,3,1,2.162500,8.000000
20,3,2,2.581250,8.000000
21,3,3,2.430625,9.000000
22,3,4,1.961667,8.000000
23,3,5,2.337708,8.000000
24,4,0,2.005208,8.000000
25,4,1,2.156042,8.000000
26,4,2,2.501667,10.000000
27,4,3,2.253958,9.000000
28,4,4,2.161042,8.000000
29,4,5,2.361458,8.000000
30,5,0,2.166042,8.000000
31,5,1,1.986458,9.000000
32,5,2,2.325417,8.000000
33,5,3,2.100833,7.000000
34,5,4,1.662500,9.000000
35,5,5,2.071042,8.000000
