intersection_id,i,j,avg_queue,max_queue
0,0,0,8.427917,17.000000
1,0,1,8.056458,15.000000
2,0,2,8.290000,16.000000
3,0,3,8.648125,16.000000
4,0,4,8.731458,16.000000
5,0,5,7.943542,16.000000
6,1,0,9.298958,17.000000
7,1,1,10.147917,17.000000
8,1,2,10.419375,18.000000
9,1,3,10.636875,17.000000
10,1,4,10.150417,17.000000
11,1,5,8.601458,17.000000
12,2,0,9.381250,17.000000
13,2,1,10.107708,17.000000
14,2,2,10.213542,19.000000
15,2,3,10.342708,17.000000
16,2,4,9.862292,17.000000
17,2,5,8.990625,17.000000
18,3,0,9.172708,17.000000
19,3,1,10.143542,18.000000
20,3,2,9.767083,17.000000
21,3,3,9.906667,18.000000
22,3,4,9.688125,17.000000
23,3,5,8.721042,17.000000
24,4,0,8.827292,16.000000
25,4,1,9.492708,17.000000
26,4,2,9.688125,18.000000
27,4,3,9.472292,17.000000
28,4,4,9.499792,17.000000
29,4,5,8.580417,17.000000
30,5,0,7.855625,15.000000
31,5,1,8.322500,16.000000
32,5,2,8.531667,17.000000
33,5,3,8.506042,17.000000
34,5,4,8.823958,15.000000
35,5,5,7.782292,16.000000
