intersection_id,i,j,avg_queue,max_queue
0,0,0,4.780417,11.000000
1,0,1,5.028750,12.000000
2,0,2,4.997917,11.000000
3,0,3,5.136458,12.000000
4,0,4,5.185000,13.000000
5,0,5,4.820000,12.000000
6,1,0,5.244375,12.000000
7,1,1,6.021250,14.000000
8,1,2,5.901875,12.000000
9,1,3,5.804167,13.000000
10,1,4,5.914583,14.000000
11,1,5,5.236875,15.000000
12,2,0,5.444375,14.000000
13,2,1,5.814583,15.000000
14,2,2,6.012708,13.000000
15,2,3,5.852292,13.000000
16,2,4,6.048750,13.000000
17,2,5,5.407917,15.000000
18,3,0,5.464792,13.000000
19,3,1,6.226875,13.000000
20,3,2,5.980833,14.000000
21,3,3,5.918750,13.000000
22,3,4,6.292917,14.000000
23,3,5,5.675625,13.000000
24,4,0,5.175000,12.000000
25,4,1,5.818750,13.000000
26,4,2,5.546667,13.000000
27,4,3,5.970833,15.000000
28,4,4,5.831667,14.000000
29,4,5,5.590625,13.000000
30,5,0,5.265000,14.000000
31,5,1,5.497708,13.000000
32,5,2,5.517083,13.000000
33,5,3,5.312292,12.000000
34,5,4,5.591042,13.000000
35,5,5,5.146458,12.000000
