intersection_id,i,j,avg_queue,max_queue
0,0,0,14.621875,20.000000
1,0,1,14.537083,20.000000
2,0,2,14.525000,20.000000
3,0,3,14.461667,20.000000
4,0,4,14.632708,20.000000
5,0,5,14.441667,20.000000
6,1,0,14.642083,20.000000
7,1,1,14.710000,19.000000
8,1,2,14.547292,20.000000
9,1,3,14.473542,20.000000
10,1,4,14.565208,20.000000
11,1,5,14.588125,20.000000
12,2,0,14.386875,20.000000
13,2,1,14.509583,20.000000
14,2,2,14.400208,19.000000
15,2,3,14.511042,20.000000
16,2,4,14.526875,19.000000
17,2,5,14.519792,19.000000
18,3,0,14.350208,18.000000
19,3,1,14.560625,19.000000
20,3,2,14.676042,20.000000
21,3,3,14.668125,20.000000
22,3,4,14.681458,19.000000
23,3,5,14.464792,20.000000
24,4,0,14.717917,20.000000
25,4,1,14.676250,20.000000
26,4,2,14.675625,20.000000
27,4,3,14.546458,20.000000
28,4,4,14.549375,19.000000
29,4,5,14.527500,19.000000
30,5,0,14.293958,20.000000
31,5,1,14.477083,20.000000
32,5,2,14.516875,19.000000
33,5,3,14.470000,20.000000
34,5,4,14.685833,20.000000
35,5,5,14.262083,20.000000
