intersection_id,i,j,avg_queue,max_queue
0,0,0,14.444792,20.000000
1,0,1,14.659792,20.000000
2,0,2,14.544583,20.000000
3,0,3,14.246250,19.000000
4,0,4,14.527083,20.000000
5,0,5,14.386667,20.000000
6,1,0,14.509792,20.000000
7,1,1,14.307292,19.000000
8,1,2,14.586250,19.000000
9,1,3,14.491458,19.000000
10,1,4,14.693542,20.000000
11,1,5,14.691875,20.000000
12,2,0,14.669375,19.000000
13,2,1,14.622500,20.000000
14,2,2,14.701667,19.000000
15,2,3,14.266042,20.000000
16,2,4,14.553333,20.000000
17,2,5,14.256250,20.000000
18,3,0,14.632292,20.000000
19,3,1,14.397708,20.000000
20,3,2,14.547083,19.000000
21,3,3,14.492292,20.000000
22,3,4,14.607292,20.000000
23,3,5,14.396042,20.000000
24,4,0,14.602917,19.000000
25,4,1,14.541042,19.000000
26,4,2,14.698750,19.000000
27,4,3,14.620833,20.000000
28,4,4,14.518333,20.000000
29,4,5,14.435417,18.000000
30,5,0,14.428125,18.000000
31,5,1,14.596667,20.000000
32,5,2,14.361875,20.000000
33,5,3,14.483125,19.000000
34,5,4,14.389167,20.000000
35,5,5,14.482292,19.000000
