intersection_id,i,j,avg_queue,max_queue
0,0,0,11.217500,18.000000
1,0,1,13.153750,19.000000
2,0,2,12.578958,19.000000
3,0,3,11.493958,17.000000
4,0,4,11.658958,18.000000
5,0,5,11.416667,17.000000
6,1,0,12.660208,18.000000
7,1,1,13.639375,18.000000
8,1,2,12.592083,18.000000
9,1,3,12.937083,18.000000
10,1,4,13.087708,18.000000
11,1,5,12.602292,19.000000
12,2,0,11.864167,18.000000
13,2,1,13.701042,19.000000
14,2,2,13.698125,20.000000
15,2,3,13.582292,19.000000
16,2,4,13.464167,18.000000
17,2,5,12.421667,19.000000
18,3,0,12.423125,18.000000
19,3,1,13.914583,19.000000
20,3,2,13.450417,18.000000
21,3,3,13.482500,20.000000
22,3,4,13.830208,18.000000
23,3,5,12.753125,19.000000
24,4,0,12.258958,18.000000
25,4,1,13.935625,19.000000
26,4,2,13.772292,18.000000
27,4,3,13.310000,19.000000
28,4,4,13.432708,18.000000
29,4,5,13.133542,18.000000
30,5,0,11.884375,19.000000
31,5,1,13.025625,18.000000
32,5,2,12.453958,18.000000
33,5,3,12.669583,18.000000
34,5,4,12.793333,19.000000
35,5,5,11.522083,20.000000
