intersection_id,i,j,avg_queue,max_queue
0,0,0,11.698958,18.000000
1,0,1,12.485000,18.000000
2,0,2,12.048542,18.000000
3,0,3,12.668542,19.000000
4,0,4,12.895833,20.000000
5,0,5,11.443542,20.000000
6,1,0,12.836250,20.000000
7,1,1,13.741458,19.000000
8,1,2,12.894167,18.000000
9,1,3,13.545833,19.000000
10,1,4,12.558750,20.000000
11,1,5,12.803333,18.000000
12,2,0,12.664583,20.000000
13,2,1,13.408333,19.000000
14,2,2,13.190000,20.000000
15,2,3,13.550417,19.000000
16,2,4,13.405000,20.000000
17,2,5,13.220833,19.000000
18,3,0,12.941250,18.000000
19,3,1,13.785000,20.000000
20,3,2,13.131458,19.000000
21,3,3,13.355417,19.000000
22,3,4,13.380833,20.000000
23,3,5,13.160000,18.000000
24,4,0,12.753333,19.000000
25,4,1,13.675208,20.000000
26,4,2,13.584583,19.000000
27,4,3,13.092708,18.000000
28,4,4,13.205625,18.000000
29,4,5,12.847083,18.000000
30,5,0,12.379375,19.000000
31,5,1,12.854792,19.000000
32,5,2,12.706875,19.000000
33,5,3,12.246250,20.000000
34,5,4,13.176042,20.000000
35,5,5,11.567083,18.000000
