intersection_id,i,j,avg_queue,max_queue
0,0,0,9.291250,15.000000
1,0,1,9.581875,16.000000
2,0,2,9.899375,16.000000
3,0,3,9.623542,16.000000
4,0,4,9.808333,17.000000
5,0,5,9.435208,15.000000
6,1,0,9.666250,15.000000
7,1,1,9.864792,15.000000
8,1,2,10.665625,16.000000
9,1,3,10.587292,17.000000
10,1,4,10.265625,17.000000
11,1,5,10.165000,17.000000
12,2,0,9.722292,16.000000
13,2,1,10.108750,16.000000
14,2,2,10.595833,17.000000
15,2,3,10.201875,16.000000
16,2,4,10.411667,16.000000
17,2,5,9.824167,16.000000
18,3,0,9.625417,16.000000
19,3,1,9.556458,16.000000
20,3,2,10.715833,17.000000
21,3,3,10.141667,17.000000
22,3,4,10.581250,16.000000
23,3,5,9.933542,16.000000
24,4,0,9.840208,16.000000
25,4,1,10.022917,16.000000
26,4,2,10.597708,17.000000
27,4,3,10.206667,16.000000
28,4,4,10.241667,16.000000
29,4,5,9.790000,16.000000
30,5,0,9.038125,16.000000
31,5,1,9.318958,16.000000
32,5,2,9.651458,15.000000
33,5,3,9.689375,16.000000
34,5,4,9.460208,15.000000
35,5,5,9.400833,15.000000
