intersection_id,i,j,avg_queue,max_queue
0,0,0,5.170625,12.000000
1,0,1,5.393125,15.000000
2,0,2,5.045833,12.000000
3,0,3,5.145000,14.000000
4,0,4,5.367917,14.000000
5,0,5,5.081667,13.000000
6,1,0,5.311250,14.000000
7,1,1,5.613958,14.000000
8,1,2,5.398958,15.000000
9,1,3,5.073750,13.000000
10,1,4,5.311875,13.000000
11,1,5,5.228542,12.000000
12,2,0,5.144167,14.000000
13,2,1,5.098125,13.000000
14,2,2,5.309792,13.000000
15,2,3,5.116875,14.000000
16,2,4,5.329792,15.000000
17,2,5,5.108333,13.000000
18,3,0,5.244167,14.000000
19,3,1,5.191458,13.000000
20,3,2,5.031458,12.000000
21,3,3,4.897083,13.000000
22,3,4,5.281458,13.000000
23,3,5,4.857083,12.000000
24,4,0,5.201667,13.000000
25,4,1,5.489375,13.000000
26,4,2,5.356042,12.000000
27,4,3,5.206042,14.000000
28,4,4,5.662292,14.000000
29,4,5,5.193542,12.000000
30,5,0,5.184583,13.000000
31,5,1,5.250208,15.000000
32,5,2,5.291667,13.000000
33,5,3,4.916458,13.000000
34,5,4,5.156667,13.000000
35,5,5,5.038542,13.000000
