intersection_id,i,j,avg_queue,max_queue
0,0,0,14.286250,20.000000
1,0,1,14.564792,20.000000
2,0,2,14.072708,20.000000
3,0,3,14.400208,19.000000
4,0,4,14.551458,20.000000
5,0,5,14.364375,20.000000
6,1,0,14.648750,20.000000
7,1,1,14.585417,19.000000
8,1,2,14.600000,20.000000
9,1,3,14.400417,19.000000
10,1,4,14.794167,20.000000
11,1,5,14.282500,19.000000
12,2,0,14.316875,20.000000
13,2,1,14.531667,20.000000
14,2,2,14.375625,20.000000
15,2,3,14.317500,20.000000
16,2,4,14.644583,20.000000
17,2,5,14.309583,20.000000
18,3,0,14.364583,19.000000
19,3,1,14.397917,20.000000
20,3,2,14.601458,20.000000
21,3,3,14.503958,20.000000
22,3,4,14.577917,20.000000
23,3,5,14.471667,20.000000
24,4,0,14.394167,20.000000
25,4,1,14.541250,20.000000
26,4,2,14.406875,19.000000
27,4,3,14.542292,19.000000
28,4,4,14.626458,20.000000
29,4,5,14.590417,19.000000
30,5,0,14.105833,19.000000
31,5,1,14.507500,20.000000
32,5,2,14.392083,20.000000
33,5,3,14.286875,20.000000
34,5,4,14.481667,20.000000
35,5,5,14.188750,20.000000
