intersection_id,i,j,avg_queue,max_queue
0,0,0,11.612500,18.000000
1,0,1,12.154792,18.000000
2,0,2,11.400208,18.000000
3,0,3,12.386042,18.000000
4,0,4,12.258542,20.000000
5,0,5,12.133542,19.000000
6,1,0,12.542292,19.000000
7,1,1,13.591875,19.000000
8,1,2,12.782917,19.000000
9,1,3,12.833333,19.000000
10,1,4,13.011875,18.000000
11,1,5,12.793750,19.000000
12,2,0,12.013958,19.000000
13,2,1,13.440208,19.000000
14,2,2,13.033125,19.000000
15,2,3,13.090625,19.000000
16,2,4,13.249375,18.000000
17,2,5,12.210000,18.000000
18,3,0,12.524167,20.000000
19,3,1,13.402292,19.000000
20,3,2,13.200208,19.000000
21,3,3,13.568333,19.000000
22,3,4,12.926667,19.000000
23,3,5,12.626875,19.000000
24,4,0,13.355000,20.000000
25,4,1,13.682500,20.000000
26,4,2,12.810833,19.000000
27,4,3,13.434792,20.000000
28,4,4,13.431875,19.000000
29,4,5,12.432083,20.000000
30,5,0,11.517500,18.000000
31,5,1,12.870833,20.000000
32,5,2,12.797500,20.000000
33,5,3,12.557083,19.000000
34,5,4,12.604375,19.000000
35,5,5,11.557708,20.000000
