intersection_id,i,j,avg_queue,max_queue
0,0,0,6.377917,14.000000
1,0,1,6.120000,14.000000
2,0,2,5.510625,15.000000
3,0,3,5.473750,14.000000
4,0,4,5.929583,14.000000
5,0,5,5.951667,13.000000
6,1,0,6.114167,13.000000
7,1,1,6.619375,15.000000
8,1,2,6.217917,13.000000
9,1,3,6.275833,16.000000
10,1,4,7.046458,16.000000
11,1,5,6.622083,15.000000
12,2,0,6.170208,15.000000
13,2,1,6.542917,14.000000
14,2,2,5.672917,12.000000
15,2,3,5.637708,14.000000
16,2,4,6.170208,14.000000
17,2,5,5.963958,14.000000
18,3,0,5.877500,14.000000
19,3,1,6.362708,14.000000
20,3,2,5.771667,15.000000
21,3,3,5.695208,13.000000
22,3,4,6.474167,14.000000
23,3,5,6.411250,15.000000
24,4,0,6.392917,14.000000
25,4,1,6.652083,15.000000
26,4,2,6.174167,16.000000
27,4,3,6.294792,14.000000
28,4,4,6.827708,15.000000
29,4,5,6.809792,15.000000
30,5,0,6.088958,14.000000
31,5,1,6.185833,16.000000
32,5,2,5.836250,15.000000
33,5,3,6.214375,15.000000
34,5,4,6.266250,14.000000
35,5,5,6.399583,15.000000
