intersection_id,i,j,avg_queue,max_queue
0,0,0,0.726458,4.000000
1,0,1,0.800625,4.000000
2,0,2,0.838750,5.000000
3,0,3,0.831250,4.000000
4,0,4,0.811042,6.000000
5,0,5,0.781667,6.000000
6,1,0,0.817917,5.000000
7,1,1,0.880417,5.000000
8,1,2,0.911458,5.000000
9,1,3,0.881458,5.000000
10,1,4,0.839167,5.000000
11,1,5,0.876042,5.000000
12,2,0,0.827708,5.000000
13,2,1,0.848958,5.000000
14,2,2,0.856875,5.000000
15,2,3,0.896458,6.000000
16,2,4,0.841042,5.000000
17,2,5,0.836250,6.000000
18,3,0,0.865833,4.000000
19,3,1,0.853542,5.000000
20,3,2,0.915833,5.000000
21,3,3,0.961458,5.000000
22,3,4,0.870417,5.000000
23,3,5,0.865000,5.000000
24,4,0,0.838750,5.000000
25,4,1,0.848333,6.000000
26,4,2,0.884583,6.000000
27,4,3,0.942500,5.000000
28,4,4,0.870625,5.000000
29,4,5,0.830000,4.000000
30,5,0,0.750417,4.000000
31,5,1,0.749583,5.000000
32,5,2,0.785417,5.000000
33,5,3,0.852292,5.000000
34,5,4,0.760625,4.000000
35,5,5,0.735208,4.000000
