intersection_id,i,j,avg_queue,max_queue
0,0,0,13.067500,18.000000
1,0,1,13.815625,20.000000
2,0,2,13.466458,20.000000
3,0,3,13.243750,18.000000
4,0,4,13.286875,18.000000
5,0,5,12.959167,18.000000
6,1,0,13.562708,19.000000
7,1,1,13.980625,20.000000
8,1,2,14.116667,19.000000
9,1,3,13.966667,18.000000
10,1,4,14.264375,19.000000
11,1,5,13.687292,18.000000
12,2,0,13.707917,18.000000
13,2,1,14.020000,19.000000
14,2,2,14.193125,20.000000
15,2,3,13.826875,18.000000
16,2,4,14.356667,20.000000
17,2,5,13.684792,18.000000
18,3,0,13.592708,18.000000
19,3,1,14.143333,20.000000
20,3,2,14.121458,19.000000
21,3,3,13.884167,19.000000
22,3,4,14.545625,19.000000
23,3,5,13.976875,19.000000
24,4,0,13.465208,19.000000
25,4,1,13.954792,20.000000
26,4,2,14.094792,19.000000
27,4,3,14.057708,19.000000
28,4,4,14.402500,20.000000
29,4,5,13.581042,19.000000
30,5,0,12.591875,20.000000
31,5,1,13.217292,18.000000
32,5,2,13.339792,18.000000
33,5,3,13.473958,19.000000
34,5,4,13.859167,18.000000
35,5,5,13.036042,19.000000
