intersection_id,i,j,avg_queue,max_queue
0,0,0,6.288125,13.000000
1,0,1,6.979167,14.000000
2,0,2,7.146042,15.000000
3,0,3,7.071667,15.000000
4,0,4,7.101250,15.000000
5,0,5,6.359167,13.000000
6,1,0,7.241458,14.000000
7,1,1,8.735417,16.000000
8,1,2,8.160625,15.000000
9,1,3,7.782500,15.000000
10,1,4,8.140833,15.000000
11,1,5,7.258333,15.000000
12,2,0,6.855208,13.000000
13,2,1,7.863958,14.000000
14,2,2,7.678958,14.000000
15,2,3,7.490833,16.000000
16,2,4,8.086250,16.000000
17,2,5,6.993542,14.000000
18,3,0,7.298958,14.000000
19,3,1,8.340625,15.000000
20,3,2,7.788125,14.000000
21,3,3,7.737083,15.000000
22,3,4,7.796875,16.000000
23,3,5,7.207500,14.000000
24,4,0,7.002500,14.000000
25,4,1,7.972083,15.000000
26,4,2,7.865208,14.000000
27,4,3,7.643333,18.000000
28,4,4,8.132917,16.000000
29,4,5,7.363958,16.000000
30,5,0,6.858958,13.000000
31,5,1,6.969583,15.000000
32,5,2,6.930625,14.000000
33,5,3,6.759375,14.000000
34,5,4,7.195625,16.000000
35,5,5,6.578750,14.000000
