intersection_id,i,j,avg_queue,max_queue
0,0,0,12.886042,19.000000
1,0,1,13.367083,18.000000
2,0,2,13.132500,19.000000
3,0,3,12.959583,19.000000
4,0,4,13.670000,20.000000
5,0,5,13.667500,20.000000
6,1,0,13.654375,19.000000
7,1,1,13.499583,19.000000
8,1,2,13.308125,19.000000
9,1,3,13.041458,19.000000
10,1,4,13.590000,20.000000
11,1,5,13.292083,19.000000
12,2,0,13.733750,20.000000
13,2,1,13.356667,19.000000
14,2,2,13.518333,20.000000
15,2,3,13.729583,20.000000
16,2,4,13.781250,20.000000
17,2,5,12.855417,19.000000
18,3,0,13.303750,19.000000
19,3,1,12.967500,19.000000
20,3,2,13.257292,18.000000
21,3,3,13.298750,18.000000
22,3,4,14.128333,20.000000
23,3,5,13.227083,19.000000
24,4,0,13.360625,20.000000
25,4,1,13.490625,19.000000
26,4,2,13.291250,18.000000
27,4,3,13.751042,18.000000
28,4,4,14.046042,19.000000
29,4,5,13.819167,19.000000
30,5,0,13.227292,19.000000
31,5,1,13.764583,20.000000
32,5,2,12.812083,20.000000
33,5,3,13.256667,20.000000
34,5,4,13.547708,20.000000
35,5,5,13.426042,20.000000
