intersection_id,i,j,avg_queue,max_queue
0,0,0,13.181042,18.000000
1,0,1,13.431667,19.000000
2,0,2,13.280208,20.000000
3,0,3,12.913958,20.000000
4,0,4,13.551042,19.000000
5,0,5,13.328125,20.000000
6,1,0,13.859583,20.000000
7,1,1,13.925417,20.000000
8,1,2,13.835625,19.000000
9,1,3,13.174792,20.000000
10,1,4,13.624167,20.000000
11,1,5,13.267708,20.000000
12,2,0,13.571250,20.000000
13,2,1,13.766042,20.000000
14,2,2,13.177708,19.000000
15,2,3,13.071458,20.000000
16,2,4,13.567083,20.000000
17,2,5,13.209167,20.000000
18,3,0,13.705000,20.000000
19,3,1,13.525625,18.000000
20,3,2,13.579583,20.000000
21,3,3,13.013125,19.000000
22,3,4,13.351250,19.000000
23,3,5,13.179792,20.000000
24,4,0,13.823750,20.000000
25,4,1,13.521458,20.000000
26,4,2,13.553125,19.000000
27,4,3,13.510000,20.000000
28,4,4,13.962917,20.000000
29,4,5,13.388750,20.000000
30,5,0,13.473333,20.000000
31,5,1,12.854583,19.000000
32,5,2,13.662292,20.000000
33,5,3,13.432083,20.000000
34,5,4,13.717708,20.000000
35,5,5,13.521042,20.000000
