intersection_id,i,j,avg_queue,max_queue
0,0,0,12.309583,18.000000
1,0,1,13.059792,20.000000
2,0,2,12.822708,18.000000
3,0,3,13.383125,18.000000
4,0,4,12.958333,19.000000
5,0,5,12.485833,18.000000
6,1,0,13.194167,19.000000
7,1,1,13.419375,18.000000
8,1,2,13.912083,19.000000
9,1,3,14.287708,19.000000
10,1,4,13.790625,19.000000
11,1,5,13.274792,20.000000
12,2,0,13.105000,18.000000
13,2,1,13.005417,18.000000
14,2,2,13.594792,19.000000
15,2,3,13.611667,19.000000
16,2,4,14.202708,19.000000
17,2,5,13.106667,19.000000
18,3,0,13.024583,18.000000
19,3,1,14.030417,18.000000
20,3,2,14.089375,19.000000
21,3,3,13.606042,19.000000
22,3,4,14.012708,18.000000
23,3,5,13.058958,20.000000
24,4,0,13.368750,19.000000
25,4,1,14.299583,19.000000
26,4,2,13.888542,18.000000
27,4,3,13.706042,18.000000
28,4,4,13.659375,18.000000
29,4,5,13.192500,20.000000
30,5,0,12.472083,18.000000
31,5,1,13.056042,20.000000
32,5,2,12.778333,18.000000
33,5,3,12.881042,18.000000
34,5,4,13.035417,19.000000
35,5,5,12.728958,18.000000
