intersection_id,i,j,avg_queue,max_queue
0,0,0,4.946458,12.000000
1,0,1,5.377083,13.000000
2,0,2,5.720208,14.000000
3,0,3,5.121875,12.000000
4,0,4,5.273958,11.000000
5,0,5,4.941875,12.000000
6,1,0,5.454583,15.000000
7,1,1,5.924583,13.000000
8,1,2,6.469375,14.000000
9,1,3,6.113333,16.000000
10,1,4,6.104583,13.000000
11,1,5,5.340000,13.000000
12,2,0,5.292083,12.000000
13,2,1,5.996250,14.000000
14,2,2,6.090208,15.000000
15,2,3,5.536458,13.000000
16,2,4,5.473542,12.000000
17,2,5,5.438958,12.000000
18,3,0,5.122292,12.000000
19,3,1,6.002292,13.000000
20,3,2,6.647708,14.000000
21,3,3,5.866042,14.000000
22,3,4,5.757083,13.000000
23,3,5,5.433958,13.000000
24,4,0,5.611042,13.000000
25,4,1,6.226667,14.000000
26,4,2,6.484375,13.000000
27,4,3,5.923750,14.000000
28,4,4,5.787917,12.000000
29,4,5,5.289167,12.000000
30,5,0,5.053125,13.000000
31,5,1,5.406875,12.000000
32,5,2,5.738125,13.000000
33,5,3,5.468750,14.000000
34,5,4,5.487083,14.000000
35,5,5,5.060417,13.000000
