intersection_id,i,j,avg_queue,max_queue
0,0,0,9.117708,17.000000
1,0,1,9.295208,16.000000
2,0,2,9.632708,16.000000
3,0,3,9.713542,16.000000
4,0,4,9.144583,17.000000
5,0,5,8.779167,16.000000
6,1,0,9.626042,16.000000
7,1,1,10.097083,16.000000
8,1,2,10.039792,16.000000
9,1,3,10.648750,16.000000
10,1,4,9.548125,16.000000
11,1,5,9.252292,16.000000
12,2,0,9.824167,17.000000
13,2,1,10.318333,16.000000
14,2,2,10.477500,17.000000
15,2,3,10.584375,17.000000
16,2,4,10.123958,16.000000
17,2,5,9.673750,16.000000
18,3,0,9.777292,17.000000
19,3,1,10.242708,16.000000
20,3,2,10.100625,16.000000
21,3,3,10.752083,17.000000
22,3,4,10.003125,16.000000
23,3,5,9.957083,16.000000
24,4,0,9.455417,16.000000
25,4,1,10.255208,16.000000
26,4,2,9.734792,16.000000
27,4,3,10.071875,16.000000
28,4,4,9.192292,16.000000
29,4,5,9.114167,16.000000
30,5,0,9.227708,16.000000
31,5,1,9.565208,15.000000
32,5,2,9.523125,16.000000
33,5,3,10.050208,16.000000
34,5,4,9.086875,17.000000
35,5,5,9.096875,15.000000
