intersection_id,i,j,avg_queue,max_queue
0,0,0,13.130000,19.000000
1,0,1,13.846458,20.000000
2,0,2,12.850417,19.000000
3,0,3,12.401250,20.000000
4,0,4,12.941875,19.000000
5,0,5,12.952708,20.000000
6,1,0,13.399583,19.000000
7,1,1,13.445208,20.000000
8,1,2,13.390833,19.000000
9,1,3,13.056875,19.000000
10,1,4,13.540000,20.000000
11,1,5,13.119375,20.000000
12,2,0,13.485208,20.000000
13,2,1,13.847292,19.000000
14,2,2,13.526875,19.000000
15,2,3,13.228333,19.000000
16,2,4,13.299583,20.000000
17,2,5,12.965625,20.000000
18,3,0,13.300417,20.000000
19,3,1,13.470625,20.000000
20,3,2,13.539167,19.000000
21,3,3,13.190000,18.000000
22,3,4,13.633750,19.000000
23,3,5,12.867917,18.000000
24,4,0,13.360625,20.000000
25,4,1,13.935625,20.000000
26,4,2,13.666042,19.000000
27,4,3,13.880833,20.000000
28,4,4,13.598333,20.000000
29,4,5,13.218958,20.000000
30,5,0,13.345625,20.000000
31,5,1,13.712292,19.000000
32,5,2,13.564583,19.000000
33,5,3,13.089583,19.000000
34,5,4,13.416042,20.000000
35,5,5,13.136667,20.000000
