intersection_id,i,j,avg_queue,max_queue
0,0,0,8.029167,16.000000
1,0,1,9.218958,17.000000
2,0,2,9.500625,16.000000
3,0,3,9.053958,16.000000
4,0,4,9.264167,16.000000
5,0,5,7.420833,14.000000
6,1,0,8.874792,15.000000
7,1,1,10.413542,16.000000
8,1,2,10.708125,17.000000
9,1,3,10.702917,18.000000
10,1,4,10.612917,17.000000
11,1,5,9.182500,16.000000
12,2,0,9.454583,16.000000
13,2,1,10.461667,17.000000
14,2,2,11.400000,19.000000
15,2,3,10.872292,17.000000
16,2,4,10.799167,18.000000
17,2,5,9.587500,17.000000
18,3,0,9.229167,16.000000
19,3,1,10.506250,17.000000
20,3,2,11.317083,19.000000
21,3,3,11.717292,18.000000
22,3,4,11.434583,17.000000
23,3,5,9.423750,17.000000
24,4,0,9.110000,17.000000
25,4,1,11.224375,17.000000
26,4,2,10.992708,17.000000
27,4,3,11.414375,17.000000
28,4,4,11.631250,17.000000
29,4,5,9.105625,17.000000
30,5,0,8.021042,16.000000
31,5,1,9.135625,16.000000
32,5,2,9.512292,16.000000
33,5,3,9.318542,16.000000
34,5,4,9.735833,16.000000
35,5,5,8.460833,16.000000
