intersection_id,i,j,avg_queue,max_queue
0,0,0,1.566458,7.000000
1,0,1,1.827500,7.000000
2,0,2,1.742708,7.000000
3,0,3,1.602292,6.000000
4,0,4,1.737083,8.000000
5,0,5,1.730417,8.000000
6,1,0,1.737917,7.000000
7,1,1,1.980000,7.000000
8,1,2,1.947708,7.000000
9,1,3,1.740000,7.000000
10,1,4,1.977292,7.000000
11,1,5,1.846250,8.000000
12,2,0,1.709583,8.000000
13,2,1,1.911875,8.000000
14,2,2,1.900208,7.000000
15,2,3,1.674792,7.000000
16,2,4,1.887500,7.000000
17,2,5,1.837708,8.000000
18,3,0,1.711458,7.000000
19,3,1,1.965417,8.000000
20,3,2,1.960625,7.000000
21,3,3,1.815000,7.000000
22,3,4,2.025000,8.000000
23,3,5,1.814583,7.000000
24,4,0,1.749375,8.000000
25,4,1,1.990833,8.000000
26,4,2,1.967500,7.000000
27,4,3,1.802708,7.000000
28,4,4,1.928542,6.000000
29,4,5,1.783125,6.000000
30,5,0,1.646250,7.000000
31,5,1,1.792917,7.000000
32,5,2,1.895833,7.000000
33,5,3,1.745000,6.000000
34,5,4,1.799167,9.000000
35,5,5,1.718958,7.000000
