intersection_id,i,j,avg_queue,max_queue
0,0,0,12.823333,19.000000
1,0,1,13.112917,18.000000
2,0,2,12.945625,19.000000
3,0,3,13.263958,19.000000
4,0,4,13.323542,19.000000
5,0,5,12.735417,19.000000
6,1,0,13.003750,19.000000
7,1,1,14.030417,18.000000
8,1,2,13.347292,18.000000
9,1,3,13.954167,18.000000
10,1,4,14.135625,20.000000
11,1,5,13.935833,18.000000
12,2,0,13.042292,19.000000
13,2,1,13.619375,19.000000
14,2,2,14.073750,18.000000
15,2,3,13.903958,18.000000
16,2,4,13.574167,20.000000
17,2,5,13.191875,19.000000
18,3,0,13.062083,18.000000
19,3,1,13.704167,18.000000
20,3,2,13.675417,18.000000
21,3,3,13.387500,18.000000
22,3,4,13.610000,20.000000
23,3,5,13.318542,19.000000
24,4,0,13.238125,19.000000
25,4,1,13.653333,20.000000
26,4,2,13.955625,20.000000
27,4,3,14.000625,19.000000
28,4,4,13.576458,19.000000
29,4,5,12.849583,18.000000
30,5,0,12.852917,20.000000
31,5,1,13.140625,18.000000
32,5,2,13.477917,19.000000
33,5,3,13.236875,18.000000
34,5,4,13.131875,18.000000
35,5,5,12.500000,19.000000
