intersection_id,i,j,avg_queue,max_queue
0,0,0,12.698125,18.000000
1,0,1,13.510625,19.000000
2,0,2,13.187917,19.000000
3,0,3,13.398125,19.000000
4,0,4,13.445208,20.000000
5,0,5,12.287292,19.000000
6,1,0,13.210000,19.000000
7,1,1,13.948125,18.000000
8,1,2,14.044583,18.000000
9,1,3,13.865000,19.000000
10,1,4,13.928750,20.000000
11,1,5,13.058958,19.000000
12,2,0,13.107292,19.000000
13,2,1,13.782708,19.000000
14,2,2,13.341458,19.000000
15,2,3,13.618125,19.000000
16,2,4,13.640417,20.000000
17,2,5,12.922917,19.000000
18,3,0,13.192917,19.000000
19,3,1,13.785625,19.000000
20,3,2,13.690208,19.000000
21,3,3,13.914167,18.000000
22,3,4,13.646042,20.000000
23,3,5,13.422708,18.000000
24,4,0,12.866458,18.000000
25,4,1,13.974792,18.000000
26,4,2,14.189792,19.000000
27,4,3,13.726875,18.000000
28,4,4,13.756042,19.000000
29,4,5,13.141875,18.000000
30,5,0,12.675625,19.000000
31,5,1,13.053542,18.000000
32,5,2,13.002500,18.000000
33,5,3,12.915208,19.000000
34,5,4,13.043125,18.000000
35,5,5,12.973958,20.000000
