intersection_id,i,j,avg_queue,max_queue
0,0,0,2.806458,8.000000
1,0,1,3.032917,10.000000
2,0,2,2.916042,8.000000
3,0,3,3.043333,9.000000
4,0,4,3.022708,10.000000
5,0,5,2.765417,10.000000
6,1,0,2.882083,9.000000
7,1,1,3.102917,9.000000
8,1,2,3.045000,9.000000
9,1,3,3.094167,9.000000
10,1,4,3.099375,11.000000
11,1,5,2.686458,9.000000
12,2,0,2.962292,10.000000
13,2,1,3.184583,11.000000
14,2,2,3.086458,10.000000
15,2,3,3.052708,10.000000
16,2,4,3.150417,9.000000
17,2,5,2.864583,9.000000
18,3,0,2.845208,10.000000
19,3,1,3.074375,10.000000
20,3,2,2.967083,8.000000
21,3,3,3.011458,9.000000
22,3,4,3.128125,10.000000
23,3,5,2.725625,9.000000
24,4,0,2.983542,9.000000
25,4,1,3.176250,9.000000
26,4,2,3.075625,9.000000
27,4,3,3.179583,10.000000
28,4,4,3.190833,9.000000
29,4,5,2.737708,9.000000
30,5,0,2.817083,9.000000
31,5,1,3.061458,9.000000
32,5,2,2.908542,8.000000
33,5,3,3.080625,12.000000
34,5,4,3.023542,10.000000
35,5,5,2.624583,8.000000
