intersection_id,i,j,avg_queue,max_queue
0,0,0,13.335625,20.000000
1,0,1,13.552292,19.000000
2,0,2,13.293750,20.000000
3,0,3,13.331875,18.000000
4,0,4,13.111875,18.000000
5,0,5,12.598958,19.000000
6,1,0,13.740000,20.000000
7,1,1,14.337500,20.000000
8,1,2,14.321250,19.000000
9,1,3,14.092500,19.000000
10,1,4,13.998750,20.000000
11,1,5,13.609375,19.000000
12,2,0,13.470000,19.000000
13,2,1,14.439583,19.000000
14,2,2,14.490000,20.000000
15,2,3,13.981667,19.000000
16,2,4,14.071458,18.000000
17,2,5,13.656667,20.000000
18,3,0,13.726875,20.000000
19,3,1,14.307708,19.000000
20,3,2,14.301042,19.000000
21,3,3,14.223750,20.000000
22,3,4,14.255625,19.000000
23,3,5,13.954583,19.000000
24,4,0,13.651875,20.000000
25,4,1,14.492708,20.000000
26,4,2,14.466458,20.000000
27,4,3,14.350000,19.000000
28,4,4,14.148333,19.000000
29,4,5,13.866458,20.000000
30,5,0,13.205208,19.000000
31,5,1,13.718750,19.000000
32,5,2,13.647083,19.000000
33,5,3,13.631875,19.000000
34,5,4,13.336042,19.000000
35,5,5,13.508125,20.000000
