intersection_id,i,j,avg_queue,max_queue
0,0,0,12.811250,19.000000
1,0,1,13.366042,18.000000
2,0,2,13.044375,18.000000
3,0,3,13.068125,18.000000
4,0,4,13.039375,18.000000
5,0,5,12.516875,19.000000
6,1,0,12.889375,20.000000
7,1,1,14.144583,20.000000
8,1,2,13.920000,18.000000
9,1,3,13.756042,19.000000
10,1,4,13.613750,19.000000
11,1,5,13.183750,20.000000
12,2,0,12.925833,18.000000
13,2,1,13.647292,19.000000
14,2,2,13.828125,19.000000
15,2,3,13.798125,19.000000
16,2,4,13.649167,19.000000
17,2,5,12.820417,18.000000
18,3,0,13.407292,20.000000
19,3,1,13.993750,19.000000
20,3,2,13.902083,18.000000
21,3,3,13.880625,18.000000
22,3,4,13.919583,19.000000
23,3,5,12.866042,18.000000
24,4,0,13.380417,19.000000
25,4,1,13.768125,20.000000
26,4,2,13.475000,19.000000
27,4,3,13.461667,18.000000
28,4,4,13.382917,18.000000
29,4,5,12.954583,18.000000
30,5,0,12.407500,19.000000
31,5,1,13.173542,19.000000
32,5,2,13.023958,18.000000
33,5,3,13.342917,18.000000
34,5,4,13.471250,20.000000
35,5,5,12.509583,18.000000
