intersection_id,i,j,avg_queue,max_queue
0,0,0,6.651042,17.000000
1,0,1,6.284583,14.000000
2,0,2,6.222083,15.000000
3,0,3,6.119375,16.000000
4,0,4,6.466875,15.000000
5,0,5,6.183333,13.000000
6,1,0,6.487500,14.000000
7,1,1,7.200208,16.000000
8,1,2,7.140417,16.000000
9,1,3,7.271458,16.000000
10,1,4,7.088750,16.000000
11,1,5,6.414583,15.000000
12,2,0,6.471042,15.000000
13,2,1,5.941667,14.000000
14,2,2,6.325208,16.000000
15,2,3,6.321042,16.000000
16,2,4,6.427708,15.000000
17,2,5,6.204167,13.000000
18,3,0,6.678958,14.000000
19,3,1,6.230417,14.000000
20,3,2,6.150625,14.000000
21,3,3,6.066250,14.000000
22,3,4,6.292500,14.000000
23,3,5,5.838750,13.000000
24,4,0,6.865833,16.000000
25,4,1,6.839792,16.000000
26,4,2,6.434583,15.000000
27,4,3,6.560833,14.000000
28,4,4,6.157500,13.000000
29,4,5,6.103542,13.000000
30,5,0,6.190417,14.000000
31,5,1,5.978125,14.000000
32,5,2,5.935625,16.000000
33,5,3,5.991667,14.000000
34,5,4,5.950000,13.000000
35,5,5,6.073750,13.000000
