intersection_id,i,j,avg_queue,max_queue
0,0,0,7.803750,16.000000
1,0,1,9.425000,16.000000
2,0,2,9.567917,17.000000
3,0,3,9.331875,16.000000
4,0,4,8.991250,16.000000
5,0,5,7.954375,16.000000
6,1,0,8.956875,17.000000
7,1,1,10.223125,17.000000
8,1,2,10.792500,17.000000
9,1,3,10.456875,18.000000
10,1,4,10.757917,16.000000
11,1,5,8.763750,16.000000
12,2,0,8.750417,16.000000
13,2,1,10.552083,17.000000
14,2,2,10.458125,18.000000
15,2,3,10.811667,18.000000
16,2,4,10.834375,17.000000
17,2,5,8.423750,16.000000
18,3,0,9.218750,17.000000
19,3,1,10.839167,17.000000
20,3,2,9.965208,18.000000
21,3,3,10.602500,16.000000
22,3,4,10.867083,17.000000
23,3,5,9.062292,16.000000
24,4,0,9.012500,15.000000
25,4,1,10.964792,17.000000
26,4,2,10.221875,17.000000
27,4,3,10.494375,17.000000
28,4,4,10.829792,17.000000
29,4,5,8.195000,15.000000
30,5,0,7.791042,15.000000
31,5,1,8.512708,16.000000
32,5,2,8.761875,16.000000
33,5,3,8.537292,16.000000
34,5,4,9.118958,16.000000
35,5,5,7.942083,15.000000
