intersection_id,i,j,avg_queue,max_queue
0,0,0,14.392708,20.000000
1,0,1,14.442917,19.000000
2,0,2,14.235833,19.000000
3,0,3,14.465625,20.000000
4,0,4,14.450625,20.000000
5,0,5,14.251458,20.000000
6,1,0,14.492500,20.000000
7,1,1,14.421875,19.000000
8,1,2,14.536250,20.000000
9,1,3,14.486458,20.000000
10,1,4,14.592917,20.000000
11,1,5,14.243750,20.000000
12,2,0,14.313542,19.000000
13,2,1,14.428333,20.000000
14,2,2,14.441667,19.000000
15,2,3,14.594375,19.000000
16,2,4,14.511667,20.000000
17,2,5,14.096042,19.000000
18,3,0,14.340208,19.000000
19,3,1,14.264583,20.000000
20,3,2,14.342292,18.000000
21,3,3,14.423542,20.000000
22,3,4,14.574375,20.000000
23,3,5,14.298542,20.000000
24,4,0,14.403958,18.000000
25,4,1,14.589375,19.000000
26,4,2,14.602917,20.000000
27,4,3,14.760625,19.000000
28,4,4,14.773542,20.000000
29,4,5,14.337708,19.000000
30,5,0,14.118542,19.000000
31,5,1,14.430208,20.000000
32,5,2,14.422708,19.000000
33,5,3,14.546875,20.000000
34,5,4,14.563958,20.000000
35,5,5,14.231667,18.000000
