intersection_id,i,j,avg_queue,max_queue
0,0,0,6.639583,15.000000
1,0,1,6.881250,14.000000
2,0,2,7.181042,16.000000
3,0,3,6.974792,14.000000
4,0,4,6.629792,14.000000
5,0,5,6.505625,15.000000
6,1,0,6.598125,14.000000
7,1,1,7.221667,15.000000
8,1,2,7.625000,16.000000
9,1,3,7.468542,16.000000
10,1,4,7.435417,15.000000
11,1,5,6.931250,15.000000
12,2,0,6.686667,13.000000
13,2,1,7.607917,15.000000
14,2,2,8.263125,17.000000
15,2,3,7.852708,15.000000
16,2,4,8.079583,15.000000
17,2,5,6.675625,17.000000
18,3,0,6.834375,16.000000
19,3,1,7.791458,14.000000
20,3,2,7.635833,15.000000
21,3,3,7.832083,14.000000
22,3,4,7.677500,16.000000
23,3,5,6.823958,14.000000
24,4,0,6.583333,13.000000
25,4,1,7.919375,15.000000
26,4,2,7.715833,16.000000
27,4,3,8.001875,14.000000
28,4,4,8.015000,16.000000
29,4,5,6.953750,15.000000
30,5,0,6.031042,13.000000
31,5,1,6.748542,15.000000
32,5,2,6.620000,15.000000
33,5,3,6.895000,14.000000
34,5,4,6.878542,14.000000
35,5,5,6.091250,13.000000
