intersection_id,i,j,avg_queue,max_queue
0,0,0,4.639792,12.000000
1,0,1,4.925208,13.000000
2,0,2,4.904792,12.000000
3,0,3,5.157083,13.000000
4,0,4,4.478542,13.000000
5,0,5,4.627083,13.000000
6,1,0,4.760417,13.000000
7,1,1,4.572708,13.000000
8,1,2,4.946875,12.000000
9,1,3,5.396875,13.000000
10,1,4,4.483750,12.000000
11,1,5,4.746875,12.000000
12,2,0,5.256458,13.000000
13,2,1,4.897083,15.000000
14,2,2,5.602292,14.000000
15,2,3,5.655208,12.000000
16,2,4,4.893750,13.000000
17,2,5,5.050833,12.000000
18,3,0,4.901458,12.000000
19,3,1,5.005833,13.000000
20,3,2,5.389792,13.000000
21,3,3,5.344792,13.000000
22,3,4,4.488750,13.000000
23,3,5,4.889167,13.000000
24,4,0,4.754792,12.000000
25,4,1,4.526667,12.000000
26,4,2,4.792500,14.000000
27,4,3,5.107500,13.000000
28,4,4,4.552500,12.000000
29,4,5,4.511458,13.000000
30,5,0,4.658958,11.000000
31,5,1,4.361042,12.000000
32,5,2,5.057708,12.000000
33,5,3,4.994583,15.000000
34,5,4,4.688958,14.000000
35,5,5,4.568750,12.000000
