intersection_id,i,j,avg_queue,max_queue
0,0,0,1.747292,7.000000
1,0,1,1.809375,9.000000
2,0,2,1.763542,7.000000
3,0,3,1.802917,7.000000
4,0,4,1.792292,7.000000
5,0,5,1.688333,7.000000
6,1,0,1.846875,7.000000
7,1,1,1.983958,7.000000
8,1,2,1.864583,7.000000
9,1,3,1.859583,8.000000
10,1,4,1.848958,10.000000
11,1,5,1.709792,6.000000
12,2,0,1.817083,7.000000
13,2,1,1.980625,8.000000
14,2,2,1.884375,8.000000
15,2,3,1.911458,7.000000
16,2,4,1.798958,8.000000
17,2,5,1.730833,7.000000
18,3,0,1.955417,7.000000
19,3,1,1.932917,7.000000
20,3,2,1.942500,8.000000
21,3,3,2.001250,9.000000
22,3,4,1.827708,7.000000
23,3,5,1.760000,7.000000
24,4,0,1.991458,8.000000
25,4,1,1.960625,7.000000
26,4,2,1.893333,8.000000
27,4,3,2.008958,7.000000
28,4,4,1.868958,8.000000
29,4,5,1.813125,7.000000
30,5,0,1.753542,7.000000
31,5,1,1.855833,7.000000
32,5,2,1.825833,7.000000
33,5,3,1.863542,7.000000
34,5,4,1.726042,6.000000
35,5,5,1.640833,6.000000
