intersection_id,i,j,avg_queue,max_queue
0,0,0,5.251458,12.000000
1,0,1,5.184167,14.000000
2,0,2,5.177083,15.000000
3,0,3,5.194583,14.000000
4,0,4,5.407917,14.000000
5,0,5,5.198750,13.000000
6,1,0,5.070417,13.000000
7,1,1,5.286667,14.000000
8,1,2,5.461042,14.000000
9,1,3,5.491042,15.000000
10,1,4,5.750208,14.000000
11,1,5,5.477500,15.000000
12,2,0,5.005833,13.000000
13,2,1,5.355625,14.000000
14,2,2,5.341875,14.000000
15,2,3,5.410417,13.000000
16,2,4,5.501875,13.000000
17,2,5,5.221250,15.000000
18,3,0,5.063333,14.000000
19,3,1,5.123542,13.000000
20,3,2,5.363125,14.000000
21,3,3,5.162083,13.000000
22,3,4,5.630417,15.000000
23,3,5,5.135833,14.000000
24,4,0,5.137917,14.000000
25,4,1,5.520208,13.000000
26,4,2,5.626042,16.000000
27,4,3,5.337708,15.000000
28,4,4,5.581042,16.000000
29,4,5,5.263125,14.000000
30,5,0,5.202083,14.000000
31,5,1,5.170833,13.000000
32,5,2,5.123750,13.000000
33,5,3,5.180000,13.000000
34,5,4,5.434375,14.000000
35,5,5,5.241667,13.000000
