intersection_id,i,j,avg_queue,max_queue
0,0,0,8.353750,18.000000
1,0,1,9.278333,19.000000
2,0,2,9.222917,17.000000
3,0,3,9.362917,17.000000
4,0,4,9.588542,17.000000
5,0,5,8.608125,18.000000
6,1,0,9.054583,18.000000
7,1,1,10.895000,17.000000
8,1,2,10.755208,18.000000
9,1,3,10.604167,18.000000
10,1,4,10.254167,18.000000
11,1,5,8.785000,17.000000
12,2,0,8.703542,16.000000
13,2,1,10.110417,18.000000
14,2,2,9.560417,17.000000
15,2,3,9.785833,17.000000
16,2,4,9.956042,18.000000
17,2,5,8.919583,19.000000
18,3,0,8.502917,16.000000
19,3,1,10.290833,18.000000
20,3,2,10.145000,18.000000
21,3,3,9.622917,16.000000
22,3,4,9.701250,18.000000
23,3,5,9.031042,17.000000
24,4,0,8.526667,16.000000
25,4,1,10.797917,17.000000
26,4,2,9.920000,19.000000
27,4,3,10.042917,18.000000
28,4,4,9.927500,17.000000
29,4,5,8.975208,16.000000
30,5,0,8.208958,17.000000
31,5,1,8.909583,18.000000
32,5,2,8.733125,17.000000
33,5,3,8.796250,16.000000
34,5,4,9.496458,19.000000
35,5,5,8.467292,17.000000
