intersection_id,i,j,avg_queue,max_queue
0,0,0,6.277917,15.000000
1,0,1,5.825833,15.000000
2,0,2,6.138125,15.000000
3,0,3,5.986667,15.000000
4,0,4,6.471042,14.000000
5,0,5,6.183125,14.000000
6,1,0,6.436458,14.000000
7,1,1,6.555208,14.000000
8,1,2,6.505208,15.000000
9,1,3,5.920000,14.000000
10,1,4,6.612917,16.000000
11,1,5,6.101042,14.000000
12,2,0,6.288125,15.000000
13,2,1,6.756875,16.000000
14,2,2,6.896875,17.000000
15,2,3,6.218750,15.000000
16,2,4,6.636667,16.000000
17,2,5,6.151458,16.000000
18,3,0,6.176667,14.000000
19,3,1,6.292500,15.000000
20,3,2,6.462083,14.000000
21,3,3,6.130833,15.000000
22,3,4,6.077708,15.000000
23,3,5,6.268958,14.000000
24,4,0,6.429375,14.000000
25,4,1,6.355625,15.000000
26,4,2,6.659583,15.000000
27,4,3,6.294583,14.000000
28,4,4,6.323125,15.000000
29,4,5,6.161875,14.000000
30,5,0,6.307083,14.000000
31,5,1,6.282917,14.000000
32,5,2,6.470208,14.000000
33,5,3,6.267500,15.000000
34,5,4,6.473333,17.000000
35,5,5,6.084167,14.000000
