intersection_id,i,j,avg_queue,max_queue
0,0,0,14.532292,20.000000
1,0,1,14.499583,20.000000
2,0,2,14.411250,20.000000
3,0,3,14.369167,20.000000
4,0,4,14.529583,19.000000
5,0,5,14.431458,20.000000
6,1,0,14.625208,19.000000
7,1,1,14.444583,19.000000
8,1,2,14.670625,20.000000
9,1,3,14.511667,20.000000
10,1,4,14.550625,19.000000
11,1,5,14.447083,20.000000
12,2,0,14.502708,20.000000
13,2,1,14.580417,19.000000
14,2,2,14.647917,20.000000
15,2,3,14.399375,19.000000
16,2,4,14.479375,19.000000
17,2,5,14.502500,19.000000
18,3,0,14.499167,19.000000
19,3,1,14.628958,20.000000
20,3,2,14.450208,19.000000
21,3,3,14.517917,20.000000
22,3,4,14.574792,20.000000
23,3,5,14.327708,19.000000
24,4,0,14.687083,20.000000
25,4,1,14.702083,20.000000
26,4,2,14.694792,20.000000
27,4,3,14.577292,20.000000
28,4,4,14.666875,20.000000
29,4,5,14.608125,20.000000
30,5,0,14.387292,20.000000
31,5,1,14.585417,20.000000
32,5,2,14.524167,20.000000
33,5,3,14.552500,20.000000
34,5,4,14.636250,20.000000
35,5,5,14.511667,20.000000
