intersection_id,i,j,avg_queue,max_queue
0,0,0,2.164792,8.000000
1,0,1,2.303333,8.000000
2,0,2,2.671042,12.000000
3,0,3,2.507708,11.000000
4,0,4,2.214167,9.000000
5,0,5,2.370625,11.000000
6,1,0,2.154375,7.000000
7,1,1,2.139375,8.000000
8,1,2,2.540208,8.000000
9,1,3,2.327500,8.000000
10,1,4,2.460000,10.000000
11,1,5,2.010417,8.000000
12,2,0,2.178333,8.000000
13,2,1,2.330417,8.000000
14,2,2,2.381458,9.000000
15,2,3,2.292708,9.000000
16,2,4,2.060000,8.000000
17,2,5,2.326250,9.000000
18,3,0,2.460000,13.000000
19,3,1,2.290625,8.000000
20,3,2,2.734583,9.000000
21,3,3,2.352083,8.000000
22,3,4,2.506667,10.000000
23,3,5,2.475417,10.000000
24,4,0,2.256250,10.000000
25,4,1,2.247500,8.000000
26,4,2,2.661667,10.000000
27,4,3,2.466458,9.000000
28,4,4,2.447917,9.000000
29,4,5,2.291667,9.000000
30,5,0,2.224375,8.000000
31,5,1,2.335417,8.000000
32,5,2,2.370208,8.000000
33,5,3,2.355208,8.000000
34,5,4,2.147500,10.000000
35,5,5,2.317292,9.000000
