intersection_id,i,j,avg_queue,max_queue
0,0,0,2.590000,8.000000
1,0,1,2.865833,9.000000
2,0,2,2.781667,8.000000
3,0,3,2.852500,9.000000
4,0,4,2.787292,9.000000
5,0,5,2.726667,9.000000
6,1,0,2.850208,10.000000
7,1,1,3.193958,9.000000
8,1,2,3.114375,10.000000
9,1,3,3.178125,10.000000
10,1,4,3.057708,9.000000
11,1,5,2.952917,9.000000
12,2,0,2.824792,9.000000
13,2,1,3.065625,9.000000
14,2,2,2.967292,10.000000
15,2,3,2.992917,9.000000
16,2,4,3.046667,9.000000
17,2,5,2.767708,9.000000
18,3,0,2.850208,11.000000
19,3,1,3.065417,9.000000
20,3,2,2.957708,8.000000
21,3,3,2.959583,8.000000
22,3,4,3.033542,9.000000
23,3,5,2.859583,9.000000
24,4,0,2.975833,9.000000
25,4,1,3.354583,9.000000
26,4,2,3.193542,10.000000
27,4,3,3.012083,9.000000
28,4,4,3.167708,9.000000
29,4,5,2.915208,9.000000
30,5,0,2.617708,9.000000
31,5,1,2.961458,8.000000
32,5,2,2.823125,9.000000
33,5,3,2.743125,9.000000
34,5,4,2.947500,10.000000
35,5,5,2.695208,10.000000
