intersection_id,i,j,avg_queue,max_queue
0,0,0,14.541250,20.000000
1,0,1,14.522500,19.000000
2,0,2,14.358125,20.000000
3,0,3,14.519792,20.000000
4,0,4,14.631875,20.000000
5,0,5,14.499792,20.000000
6,1,0,14.607083,20.000000
7,1,1,14.778125,20.000000
8,1,2,14.643958,20.000000
9,1,3,14.582917,18.000000
10,1,4,14.737708,20.000000
11,1,5,14.603542,20.000000
12,2,0,14.441667,20.000000
13,2,1,14.533958,20.000000
14,2,2,14.502708,19.000000
15,2,3,14.303125,19.000000
16,2,4,14.547500,20.000000
17,2,5,14.375208,19.000000
18,3,0,14.517083,20.000000
19,3,1,14.493958,20.000000
20,3,2,14.436667,20.000000
21,3,3,14.461875,20.000000
22,3,4,14.677917,20.000000
23,3,5,14.562708,20.000000
24,4,0,14.457083,19.000000
25,4,1,14.487292,19.000000
26,4,2,14.706667,20.000000
27,4,3,14.585208,20.000000
28,4,4,14.753125,19.000000
29,4,5,14.449792,20.000000
30,5,0,14.392917,20.000000
31,5,1,14.631250,20.000000
32,5,2,14.344583,19.000000
33,5,3,14.367500,19.000000
34,5,4,14.475208,20.000000
35,5,5,14.393125,20.000000
