intersection_id,i,j,avg_queue,max_queue
0,0,0,12.469167,20.000000
1,0,1,13.429583,19.000000
2,0,2,13.316875,18.000000
3,0,3,13.063750,19.000000
4,0,4,13.156250,19.000000
5,0,5,11.943333,18.000000
6,1,0,12.980417,19.000000
7,1,1,13.915208,19.000000
8,1,2,14.251458,20.000000
9,1,3,13.920417,19.000000
10,1,4,13.998958,19.000000
11,1,5,13.866667,19.000000
12,2,0,13.250000,18.000000
13,2,1,13.847500,19.000000
14,2,2,13.776250,18.000000
15,2,3,13.459167,18.000000
16,2,4,13.819792,18.000000
17,2,5,14.052083,19.000000
18,3,0,13.162500,19.000000
19,3,1,13.498542,18.000000
20,3,2,13.358333,18.000000
21,3,3,13.478125,19.000000
22,3,4,13.687917,19.000000
23,3,5,13.353125,18.000000
24,4,0,13.113542,20.000000
25,4,1,14.107292,19.000000
26,4,2,13.912917,19.000000
27,4,3,13.681458,18.000000
28,4,4,13.283333,18.000000
29,4,5,13.173750,19.000000
30,5,0,12.775417,19.000000
31,5,1,13.064167,18.000000
32,5,2,12.846042,18.000000
33,5,3,13.218750,18.000000
34,5,4,13.046667,18.000000
35,5,5,12.846042,20.000000
