intersection_id,i,j,avg_queue,max_queue
0,0,0,5.404792,14.000000
1,0,1,4.989167,13.000000
2,0,2,5.052083,14.000000
3,0,3,4.947083,13.000000
4,0,4,4.920417,13.000000
5,0,5,4.991042,13.000000
6,1,0,5.080625,13.000000
7,1,1,5.045417,17.000000
8,1,2,4.926250,14.000000
9,1,3,5.058542,13.000000
10,1,4,5.288125,14.000000
11,1,5,5.148958,14.000000
12,2,0,5.032708,13.000000
13,2,1,5.161458,14.000000
14,2,2,5.377917,13.000000
15,2,3,5.174583,13.000000
16,2,4,5.317500,13.000000
17,2,5,5.170000,15.000000
18,3,0,5.011458,12.000000
19,3,1,5.208333,15.000000
20,3,2,5.434167,15.000000
21,3,3,5.433958,14.000000
22,3,4,5.358542,13.000000
23,3,5,5.372708,14.000000
24,4,0,4.792083,13.000000
25,4,1,5.124167,13.000000
26,4,2,5.273125,14.000000
27,4,3,5.221458,13.000000
28,4,4,5.455833,15.000000
29,4,5,5.059167,14.000000
30,5,0,5.173958,14.000000
31,5,1,5.227708,12.000000
32,5,2,5.470000,15.000000
33,5,3,5.245625,14.000000
34,5,4,5.408958,14.000000
35,5,5,5.462500,15.000000
