intersection_id,i,j,avg_queue,max_queue
0,0,0,14.599375,20.000000
1,0,1,14.641042,19.000000
2,0,2,14.805625,19.000000
3,0,3,14.540000,20.000000
4,0,4,14.675625,20.000000
5,0,5,14.407083,20.000000
6,1,0,14.397500,19.000000
7,1,1,14.267292,19.000000
8,1,2,14.656042,19.000000
9,1,3,14.442708,19.000000
10,1,4,14.618333,20.000000
11,1,5,14.506042,18.000000
12,2,0,14.353125,19.000000
13,2,1,14.715208,20.000000
14,2,2,14.534583,20.000000
15,2,3,14.593750,19.000000
16,2,4,14.623542,20.000000
17,2,5,14.405417,20.000000
18,3,0,14.594375,20.000000
19,3,1,14.677708,19.000000
20,3,2,14.610417,20.000000
21,3,3,14.691458,19.000000
22,3,4,14.527500,20.000000
23,3,5,14.522083,19.000000
24,4,0,14.647708,20.000000
25,4,1,14.628125,20.000000
26,4,2,14.635417,20.000000
27,4,3,14.689583,20.000000
28,4,4,14.611250,20.000000
29,4,5,14.685000,20.000000
30,5,0,14.586250,20.000000
31,5,1,14.387500,20.000000
32,5,2,14.453333,20.000000
33,5,3,14.374375,20.000000
34,5,4,14.631667,19.000000
35,5,5,14.588542,20.000000
